t,dp1,dp2,dp3,dv1,dv2,dv3,tau1,tau2,tau3,da1,da2,da3
1.2,0.712455,-1.333013,0.0,-1.760611,-1.93666,0.0,0.001996,-3.46005,0.0,-0.000979,0.001,0.0
1.21,0.712455,-1.333013,0.0,-1.760611,-1.93666,0.0,0.001996,-3.46005,0.0,0.0,0.0,0.0
1.221,0.694839,-1.352374,0.0,-1.761556,-1.936064,0.0,0.001996,-3.46005,0.0,-0.000945,0.000596,0.0
1.23,0.659582,-1.391072,0.0,-1.763257,-1.93439,0.0,0.002005,-2.777865,0.0,-0.001701,0.001674,0.0
1.24,0.659582,-1.391072,0.0,-1.763257,-1.93439,0.0,0.002005,-2.777865,0.0,0.0,0.0,0.0
1.251,0.641942,-1.410405,0.0,-1.76401,-1.933309,0.0,0.002005,-2.548022,0.0,-0.000753,0.001081,0.0
1.26,0.624295,-1.429727,0.0,-1.764706,-1.932208,0.0,0.00201,-2.317114,0.0,-0.000696,0.001101,0.0
1.27,0.588982,-1.468342,0.0,-1.765945,-1.930386,0.0,0.002013,-2.085238,0.0,-0.001239,0.001822,0.0
1.28,0.588982,-1.468342,0.0,-1.765945,-1.930386,0.0,0.002013,-2.085238,0.0,0.0,0.0,0.0
1.29,0.571317,-1.487634,0.0,-1.766464,-1.929227,0.0,0.002019,-1.618966,0.0,-0.000519,0.001159,0.0
1.3,0.553648,-1.506915,0.0,-1.766924,-1.928048,0.0,0.002022,-1.384766,0.0,-0.00046,0.001179,0.0
1.31,0.535975,-1.526183,0.0,-1.767324,-1.92685,0.0,0.002025,-1.149986,0.0,-0.0004,0.001198,0.0
1.32,0.518298,-1.54544,0.0,-1.767664,-1.925633,0.0,0.002025,-0.914724,0.0,-0.00034,0.001217,0.0
1.33,0.500619,-1.564684,0.0,-1.767943,-1.924397,0.0,0.002028,-0.67908,0.0,-0.000279,0.001236,0.0
1.341,0.482937,-1.583915,0.0,-1.768162,-1.923143,0.0,0.00203,-0.443151,0.0,-0.000219,0.001254,0.0
1.35,0.465254,-1.603129,0.0,-1.768297,-1.921426,0.0,0.002036,0.029164,0.0,-0.000135,0.001717,0.0
1.361,0.44757,-1.622331,0.0,-1.768395,-1.920134,0.0,0.002036,0.029164,0.0,-9.8e-05,0.001292,0.0
1.37,0.429886,-1.641519,0.0,-1.768433,-1.918825,0.0,0.002042,0.265353,0.0,-3.8e-05,0.001309,0.0
1.38,0.412202,-1.660694,0.0,-1.768411,-1.917497,0.0,0.002045,0.501432,0.0,2.2e-05,0.001328,0.0
1.39,0.394519,-1.679851,0.0,-1.768304,-1.915709,0.0,0.00205,0.972862,0.0,0.000107,0.001788,0.0
1.4,0.376837,-1.698994,0.0,-1.768162,-1.914346,0.0,0.00205,0.972862,0.0,0.000142,0.001363,0.0
1.411,0.359157,-1.718128,0.0,-1.767984,-1.913408,0.0,0.00205,0.972862,0.0,0.000178,0.000938,0.0
1.42,0.34148,-1.737249,0.0,-1.767724,-1.912011,0.0,0.002053,1.442666,0.0,0.00026,0.001397,0.0
1.43,0.323806,-1.75635,0.0,-1.76738,-1.910159,0.0,0.002059,1.910058,0.0,0.000344,0.001852,0.0
1.442,0.306136,-1.775437,0.0,-1.767002,-1.908729,0.0,0.002059,1.910058,0.0,0.000378,0.00143,0.0
1.45,0.306136,-1.775437,0.0,-1.767002,-1.908729,0.0,0.002059,1.910058,0.0,0.0,0.0,0.0
1.46,0.270809,-1.813577,0.0,-1.766096,-1.90626,0.0,0.002064,2.374257,0.0,0.000906,0.002469,0.0
1.47,0.253154,-1.832621,0.0,-1.765523,-1.904353,0.0,0.00207,2.834489,0.0,0.000573,0.001907,0.0
1.48,0.235505,-1.851645,0.0,-1.764894,-1.902433,0.0,0.002073,3.062877,0.0,0.000629,0.00192,0.0
1.49,0.217863,-1.870654,0.0,-1.764233,-1.900928,0.0,0.002073,3.062877,0.0,0.000661,0.001505,0.0
1.5,0.200228,-1.889649,0.0,-1.763517,-1.899409,0.0,0.002076,3.289986,0.0,0.000716,0.001519,0.0
1.511,0.1826,-1.908623,0.0,-1.762725,-1.897456,0.0,0.002081,3.739991,0.0,0.000792,0.001953,0.0
1.52,0.164981,-1.927582,0.0,-1.761903,-1.895911,0.0,0.002081,3.739991,0.0,0.000822,0.001545,0.0
1.53,0.147371,-1.946526,0.0,-1.761028,-1.894354,0.0,0.002084,3.962699,0.0,0.000875,0.001557,0.0
1.54,0.12977,-1.965454,0.0,-1.760101,-1.892785,0.0,0.002087,4.183755,0.0,0.000927,0.001569,0.0
1.551,0.112179,-1.984362,0.0,-1.759104,-1.890796,0.0,0.002096,4.620545,0.0,0.000997,0.001989,0.0
1.56,0.094598,-2.003254,0.0,-1.758078,-1.889206,0.0,0.002096,4.620545,0.0,0.001026,0.00159,0.0
1.572,0.077028,-2.02213,0.0,-1.757004,-1.887605,0.0,0.002098,4.836098,0.0,0.001074,0.001601,0.0
1.58,0.077028,-2.02213,0.0,-1.757004,-1.887605,0.0,0.002098,4.836098,0.0,0.0,0.0,0.0
1.591,0.041923,-2.059821,0.0,-1.754675,-1.883586,0.0,0.002107,5.470324,0.0,0.002329,0.004019,0.0
1.6,0.024388,-2.078637,0.0,-1.753444,-1.881571,0.0,0.00211,5.677299,0.0,0.001231,0.002015,0.0
1.612,0.024388,-2.078637,0.0,-1.753444,-1.881571,0.0,0.00211,5.677299,0.0,0.0,0.0,0.0
1.62,0.006867,-2.097433,0.0,-1.752169,-1.879552,0.0,0.00211,5.881914,0.0,0.001275,0.002019,0.0
1.63,-0.010642,-2.116208,0.0,-1.750852,-1.877532,0.0,0.002113,6.084087,0.0,0.001317,0.00202,0.0
1.64,-0.045618,-2.153706,0.0,-1.748115,-1.873864,0.0,0.002121,6.480772,0.0,0.002737,0.003668,0.0
1.65,-0.063085,-2.172424,0.0,-1.746679,-1.871843,0.0,0.002124,6.675124,0.0,0.001436,0.002021,0.0
1.662,-0.063085,-2.172424,0.0,-1.746679,-1.871843,0.0,0.002124,6.675124,0.0,0.0,0.0,0.0
1.67,-0.080537,-2.191126,0.0,-1.745222,-1.870184,0.0,0.002124,6.675124,0.0,0.001457,0.001659,0.0
1.68,-0.097974,-2.209811,0.0,-1.743729,-1.868523,0.0,0.002127,6.866708,0.0,0.001493,0.001661,0.0
1.69,-0.115396,-2.228476,0.0,-1.742184,-1.86651,0.0,0.002133,7.241269,0.0,0.001545,0.002013,0.0
1.701,-0.132802,-2.247125,0.0,-1.740622,-1.864847,0.0,0.002133,7.241269,0.0,0.001562,0.001663,0.0
1.71,-0.150193,-2.265753,0.0,-1.739012,-1.862845,0.0,0.002138,7.603847,0.0,0.00161,0.002002,0.0
1.721,-0.167566,-2.284365,0.0,-1.737385,-1.861184,0.0,0.002138,7.603847,0.0,0.001627,0.001661,0.0
